...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
1971,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,23,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1972,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,23,DE,G�ttingen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1973,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,23,DE,Kiel,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1974,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,23,DE,Konstanz,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1975,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,23,DE,Neetze,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1976,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,24,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1977,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,24,DE,Bielefeld,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1978,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,24,DE,Bonn,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1979,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,Altenstadt,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1980,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1981,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,Essen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1982,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,Kleinmachnow,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1983,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,Leipzig,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1984,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,25,DE,M�nster,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1985,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,26,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1986,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,26,DE,Erfurt,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1987,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,26,DE,Essen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1988,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,26,DE,M�nchen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1989,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,27,DE,Aachen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1990,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,27,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1991,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,27,DE,Kiel,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1992,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,27,DE,Stockholm,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1993,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,28,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1994,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,28,DE,Bremen,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1995,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,28,DE,Hamm,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1996,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,29,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1997,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,29,DE,Darmstadt,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1998,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,30,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
1999,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,30,DE,M�nster,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
2000,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,32,DE,Marburg,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
2001,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,33,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
2002,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,34,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Illingen,Junge Europäische Föderalisten Deutschland e.V.
2003,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,34,DE,Bonn,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
2004,2014-1-DE04-KA347-001003,2014-2015,2014-11,2014-11,3,National youth meetings,DE,Male,Learner,No,No,No,65,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.,DE,Berlin,Junge Europäische Föderalisten Deutschland e.V.
2060,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2061,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,No,No,19,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2062,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,No,No,22,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2063,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,16,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2064,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,17,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2065,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,19,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2066,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,21,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2067,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,22,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2068,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,22,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2069,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,25,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2070,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,29,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2071,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Female,Learner,No,Yes,No,64,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2072,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,No,No,34,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2073,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,No,No,35,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2074,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,No,No,65,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2075,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,17,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2076,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,18,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2077,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,19,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2078,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,21,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2079,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,21,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2080,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,DE,Male,Learner,No,Yes,No,35,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2081,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,MA,Female,Learner,No,Yes,No,24,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2082,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,RU,Male,Learner,No,Yes,No,18,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2083,2014-1-DE04-KA347-001013,2014-2015,2014-10,2014-10,1,National youth meetings,TR,Male,Learner,No,Yes,No,21,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2084,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,AF,Male,Learner,No,Yes,No,19,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2085,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,BY,Female,Learner,No,No,No,29,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2086,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2087,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,17,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2088,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,18,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2089,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,19,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2090,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,19,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2091,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,19,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2092,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,20,DE,Bochum,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2093,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,20,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2094,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,20,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2095,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,22,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2096,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,24,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2097,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,26,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2098,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,No,No,29,DE,Dortmund,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2099,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,13,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2100,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,15,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2101,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,15,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2102,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,16,DE,Bochum,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2103,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,16,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2104,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,16,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2105,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,16,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2106,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,17,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2107,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,17,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2108,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,17,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2109,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,18,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2110,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,19,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2111,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,19,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Marl,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2112,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,21,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2113,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,21,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2114,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,22,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Iserlohn,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2115,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,29,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2116,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,30,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2117,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,57,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2118,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Female,Learner,No,Yes,No,64,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
2119,2014-1-DE04-KA347-001013,2014-2015,2014-11,2014-11,1,National youth meetings,DE,Male,Learner,No,No,No,15,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.,DE,Hagen,eSw Evangelische Schülerinnen - und Schülerarbeit in Westfalen (BK) e.V.
