...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
23,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Male,Learner,No,No,No,13,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
24,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Male,Learner,No,No,No,14,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
25,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Male,Learner,No,No,No,15,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
26,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Male,Learner,No,No,No,16,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
27,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Male,Learner,No,No,No,22,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
144,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,24,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
145,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,25,AT,Gaschurn,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
146,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,25,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
147,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,29,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
148,2014-1-AT02-KA347-000144,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,No,No,31,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Vienna,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
